Rank	Kanji	Occurrences	Percentage	Cumulative%	Heisig Index	Heisig Keyword
606	赤	40741	0.04%	82.09%	1743	red
607	策	40689	0.04%	82.13%	948	scheme
608	了	40615	0.04%	82.17%	97	complete
609	端	40528	0.04%	82.21%	1167	edge
610	深	40516	0.04%	82.24%	1328	deep
611	委	40512	0.04%	82.28%	913	committee
612	毎	40467	0.04%	82.32%	458	every
613	遺	40451	0.04%	82.36%	1772	bequeath
614	証	40381	0.04%	82.40%	380	evidence
615	徳	40205	0.04%	82.43%	885	benevolence
616	聖	40195	0.04%	82.47%	825	holy
617	清	40100	0.04%	82.51%	1539	pure
618	典	40046	0.04%	82.55%	1827	code
619	囲	40041	0.04%	82.59%	1807	surround
620	因	40023	0.04%	82.62%	583	cause
621	処	39985	0.04%	82.66%	297	dispose
622	誌	39900	0.04%	82.70%	601	document
623	功	39797	0.04%	82.74%	863	achievement
624	弟	39759	0.04%	82.77%	1240	younger brother
625	普	39570	0.04%	82.81%	1786	universal
626	舞	39569	0.04%	82.85%	1774	dance
627	聞	39564	0.04%	82.89%	1626	hear
628	植	39527	0.04%	82.92%	205	plant
629	推	39486	0.04%	82.96%	663	conjecture
630	幕	39403	0.04%	83.00%	409	curtain
631	浜	39237	0.04%	83.03%	1332	seacoast
632	沢	39118	0.04%	83.07%	1072	swamp
633	未	39080	0.04%	83.11%	216	not yet
634	巻	39054	0.04%	83.14%	1207	scroll
635	豊	38921	0.04%	83.18%	1443	bountiful
636	富	38912	0.04%	83.22%	193	wealth
637	識	38769	0.04%	83.25%	482	discriminating
638	早	38633	0.04%	83.29%	26	early
639	算	38585	0.04%	83.33%	946	calculate
640	読	38547	0.04%	83.36%	348	read
641	材	38536	0.04%	83.40%	683	lumber
642	輸	38319	0.04%	83.44%	289	transport
643	併	38315	0.04%	83.47%	1030	join
644	居	38093	0.04%	83.51%	1063	reside
645	温	38082	0.04%	83.54%	1452	warm
646	留	38056	0.04%	83.58%	1423	detain
647	案	37891	0.04%	83.62%	214	plan
648	曜	37869	0.04%	83.65%	576	weekday
649	弾	37866	0.04%	83.69%	1931	bullet
650	授	37744	0.04%	83.72%	736	impart
651	尾	37725	0.04%	83.76%	1915	tail
652	介	37625	0.04%	83.79%	250	jammed in
653	臣	37539	0.04%	83.83%	848	retainer
654	減	37421	0.04%	83.86%	366	dwindle
655	刊	37304	0.04%	83.90%	1650	publish
656	停	37121	0.04%	83.93%	977	halt
657	農	37099	0.03%	83.97%	2014	agriculture
658	扱	37080	0.03%	84.00%	690	handle
659	獲	37070	0.03%	84.04%	701	seize
660	負	36968	0.03%	84.07%	63	defeat
661	漫	36899	0.03%	84.11%	830	loose
662	養	36852	0.03%	84.14%	1479	foster
663	拠	36731	0.03%	84.18%	669	foothold
664	突	36530	0.03%	84.21%	1319	stab
665	板	36488	0.03%	84.25%	724	plank
666	岸	36295	0.03%	84.28%	1653	beach
667	血	36223	0.03%	84.32%	1448	blood
668	写	36218	0.03%	84.35%	1247	copy
669	雑	36134	0.03%	84.38%	562	miscellaneous
670	項	36111	0.03%	84.42%	82	paragraph
671	習	36055	0.03%	84.45%	574	learn
672	夜	35760	0.03%	84.49%	1037	night
673	射	35622	0.03%	84.52%	1249	shoot
674	伴	35511	0.03%	84.55%	1203	consort
675	永	35450	0.03%	84.59%	132	eternity
676	裁	35440	0.03%	84.62%	397	tailor
677	乱	35439	0.03%	84.65%	72	riot
678	働	35410	0.03%	84.69%	1678	work
679	森	35382	0.03%	84.72%	197	forest
680	至	35323	0.03%	84.75%	753	climax
681	林	35252	0.03%	84.79%	196	grove
682	密	35150	0.03%	84.82%	775	secrecy
683	盛	34976	0.03%	84.85%	1457	boom
684	故	34953	0.03%	84.89%	333	happenstance
685	湾	34894	0.03%	84.92%	1749	gulf
686	岩	34731	0.03%	84.95%	770	boulder
687	並	34600	0.03%	84.98%	1785	row
688	望	34560	0.03%	85.02%	489	ambition
689	値	34496	0.03%	85.05%	978	price
690	寄	34431	0.03%	85.08%	192	draw near
691	春	34424	0.03%	85.11%	1568	springtime
692	群	34342	0.03%	85.15%	1163	flock
693	精	34320	0.03%	85.18%	1535	refined
694	超	34304	0.03%	85.21%	385	transcend
695	泉	34303	0.03%	85.24%	133	spring
696	返	34236	0.03%	85.28%	725	return
697	九	34221	0.03%	85.31%	9	nine
698	便	34194	0.03%	85.34%	991	convenience
699	詳	34164	0.03%	85.37%	550	detailed
700	歩	34136	0.03%	85.40%	371	walk
701	薬	33988	0.03%	85.44%	1736	medicine
702	角	33921	0.03%	85.47%	1812	angle
703	援	33898	0.03%	85.50%	1951	abet
704	蔵	33866	0.03%	85.53%	850	storehouse
705	婚	33812	0.03%	85.56%	1830	marriage
706	盟	33696	0.03%	85.60%	1450	alliance
707	抗	33592	0.03%	85.63%	648	confront
708	章	33568	0.03%	85.66%	433	badge
709	頼	33447	0.03%	85.69%	1665	trust
710	酸	33428	0.03%	85.72%	1437	acid
711	財	33400	0.03%	85.75%	682	property
712	席	33345	0.03%	85.79%	1193	seat
713	志	33308	0.03%	85.82%	600	intention
714	革	33241	0.03%	85.85%	1893	leather
715	児	33132	0.03%	85.88%	58	newborn babe
716	布	33115	0.03%	85.91%	405	linen
717	秀	33093	0.03%	85.94%	914	excel
718	甲	32986	0.03%	85.97%	1113	armor
719	延	32968	0.03%	86.00%	392	prolong
720	熱	32960	0.03%	86.03%	1516	heat
721	核	32892	0.03%	86.07%	1520	nucleus
722	庫	32868	0.03%	86.10%	589	warehouse
723	待	32749	0.03%	86.13%	879	wait
724	秋	32519	0.03%	86.16%	900	autumn
725	友	32440	0.03%	86.19%	704	friend
726	跡	32216	0.03%	86.22%	1746	tracks
727	倉	32193	0.03%	86.25%	1630	godown
728	亡	32141	0.03%	86.28%	485	deceased
729	壊	32115	0.03%	86.31%	400	demolition
730	堂	32025	0.03%	86.34%	798	public chamber
731	遠	31864	0.03%	86.37%	402	distant
732	振	31843	0.03%	86.40%	2011	shake
733	賀	31748	0.03%	86.43%	868	congratulations
734	絶	31712	0.03%	86.46%	1754	discontinue
735	許	31699	0.03%	86.49%	569	permit
736	適	31661	0.03%	86.52%	441	suitable
737	績	31551	0.03%	86.55%	1542	exploits
738	激	31471	0.03%	86.58%	497	violent
739	具	31430	0.03%	86.61%	74	tool
740	陽	31414	0.03%	86.64%	1300	sunshine
741	搭	31270	0.03%	86.67%	646	board
742	測	31248	0.03%	86.70%	149	fathom
743	奈	31028	0.03%	86.73%	1094	Nara
744	敵	30983	0.03%	86.76%	443	enemy
745	息	30893	0.03%	86.79%	610	breath
746	揮	30872	0.03%	86.81%	662	brandish
747	順	30730	0.03%	86.84%	129	obey
748	枚	30652	0.03%	86.87%	332	sheet of
749	雄	30573	0.03%	86.90%	743	masculine
750	替	30523	0.03%	86.93%	842	exchange
751	則	30517	0.03%	86.96%	88	rule
752	砲	30400	0.03%	86.99%	532	cannon
753	滅	30353	0.03%	87.02%	365	destroy
754	途	30343	0.03%	87.04%	1661	route
755	週	30253	0.03%	87.07%	318	week
756	似	30112	0.03%	87.10%	1029	similar
757	玉	30009	0.03%	87.13%	256	jewel
758	兄	29831	0.03%	87.16%	103	elder brother
759	易	29816	0.03%	87.19%	1051	easy
760	景	29813	0.03%	87.21%	314	scenery
761	層	29804	0.03%	87.24%	1065	stratum
762	労	29761	0.03%	87.27%	860	labor
763	詞	29697	0.03%	87.30%	1865	parts of speech
764	占	29620	0.03%	87.33%	48	fortune-telling
765	捕	29524	0.03%	87.35%	1836	catch
766	魔	29432	0.03%	87.38%	2022	witch
767	祭	29428	0.03%	87.41%	1102	ritual
768	幅	29405	0.03%	87.44%	407	hanging scroll
769	姿	29320	0.03%	87.46%	474	figure
770	邦	29305	0.03%	87.49%	1848	home country
771	徒	29186	0.03%	87.52%	878	junior
772	承	29079	0.03%	87.55%	1901	acquiesce
773	丸	28846	0.03%	87.57%	44	round
774	費	28835	0.03%	87.60%	1238	expense
775	鳥	28812	0.03%	87.63%	1941	bird
776	刑	28781	0.03%	87.66%	679	punish
777	倒	28620	0.03%	87.68%	980	overthrow
778	散	28600	0.03%	87.71%	1189	scatter
779	抜	28542	0.03%	87.74%	705	slip out
780	拡	28496	0.03%	87.76%	740	broaden
781	印	28490	0.03%	87.79%	1425	stamp
782	華	28463	0.03%	87.82%	1581	splendor
783	爆	28429	0.03%	87.84%	1802	bomb
784	盤	28407	0.03%	87.87%	1872	tray
785	庁	28403	0.03%	87.90%	591	government office
786	貨	28201	0.03%	87.92%	1010	freight
787	給	28191	0.03%	87.95%	1349	salary
788	香	28058	0.03%	87.98%	911	incense
789	紙	27874	0.03%	88.00%	1829	paper
790	混	27855	0.03%	88.03%	450	mix
791	私	27847	0.03%	88.06%	902	private
792	候	27842	0.03%	88.08%	1640	climate
793	戻	27702	0.03%	88.11%	1081	re-
794	掲	27586	0.03%	88.13%	673	put up a notice
795	況	27485	0.03%	88.16%	145	but of course
796	脱	27476	0.03%	88.19%	498	undress
797	輪	27451	0.03%	88.21%	1822	wheel
798	逆	27441	0.03%	88.24%	1959	inverted
799	忠	27375	0.03%	88.26%	602	loyalty
800	操	27303	0.03%	88.29%	671	maneuver
801	宝	27160	0.03%	88.32%	257	treasure
802	固	27121	0.03%	88.34%	580	harden
803	被	27046	0.03%	88.37%	807	incur
804	服	26932	0.03%	88.39%	1399	clothing
805	軽	26887	0.03%	88.42%	717	lightly
806	仏	26867	0.03%	88.44%	964	Buddha
807	律	26680	0.03%	88.47%	874	rhythm
808	障	26457	0.02%	88.49%	1297	hinder
809	鮮	26438	0.02%	88.52%	551	fresh
810	節	26299	0.02%	88.54%	1464	node
811	背	26234	0.02%	88.57%	446	stature
812	宿	26138	0.02%	88.59%	995	inn
813	宅	26110	0.02%	88.62%	1916	home
814	昇	26091	0.02%	88.64%	43	rise up
815	沿	26084	0.02%	88.67%	795	run alongside
816	覚	26050	0.02%	88.69%	325	memorize
817	池	25945	0.02%	88.71%	516	pond
818	休	25884	0.02%	88.74%	965	rest
819	札	25847	0.02%	88.76%	212	tag
820	険	25796	0.02%	88.79%	1672	precipitous
821	坂	25760	0.02%	88.81%	723	slope
822	訳	25686	0.02%	88.84%	1073	translate
823	郷	25652	0.02%	88.86%	1849	hometown
824	韓	25584	0.02%	88.88%	1647	Korea
825	湖	25507	0.02%	88.91%	148	lake
826	草	25472	0.02%	88.93%	224	grass
827	宣	25456	0.02%	88.96%	188	proclaim
828	康	25339	0.02%	88.98%	1159	sane
829	羽	25288	0.02%	89.00%	573	feathers
830	療	25285	0.02%	89.03%	1709	heal
831	夏	25211	0.02%	89.05%	296	summer
832	液	25069	0.02%	89.08%	1038	fluid
833	舎	25027	0.02%	89.10%	316	cottage
834	娘	25003	0.02%	89.12%	1471	daughter
835	罪	24947	0.02%	89.15%	1636	guilt
836	宙	24942	0.02%	89.17%	1109	mid-air
837	較	24851	0.02%	89.19%	1277	contrast
838	携	24643	0.02%	89.22%	687	portable
839	六	24573	0.02%	89.24%	6	six
840	之	24431	0.02%	89.26%	1214	of
841	批	24406	0.02%	89.29%	649	criticism
842	静	24316	0.02%	89.31%	1540	quiet
843	練	24211	0.02%	89.33%	1343	practice
844	講	24177	0.02%	89.35%	1816	lecture
845	幹	24159	0.02%	89.38%	1654	tree trunk
846	岐	24116	0.02%	89.40%	772	branch off
847	妻	24062	0.02%	89.42%	1889	wife
848	駆	23799	0.02%	89.44%	1983	drive
849	遊	23780	0.02%	89.47%	1047	play
850	契	23686	0.02%	89.49%	1549	pledge
851	課	23419	0.02%	89.51%	1123	chapter
852	百	23360	0.02%	89.53%	38	hundred
853	筆	23310	0.02%	89.56%	943	writing brush
854	襲	23105	0.02%	89.58%	2025	attack
855	祖	23070	0.02%	89.60%	1779	ancestor
856	純	23062	0.02%	89.62%	1494	genuine
857	里	23038	0.02%	89.64%	173	ri
858	漢	22967	0.02%	89.66%	1578	Sino-
859	禁	22894	0.02%	89.69%	1098	prohibition
860	執	22886	0.02%	89.71%	1506	tenacious
861	折	22871	0.02%	89.73%	1130	fold
862	互	22687	0.02%	89.75%	757	mutually
863	聴	22635	0.02%	89.77%	827	listen
864	迎	22498	0.02%	89.79%	1702	welcome
865	勤	22485	0.02%	89.81%	1577	diligence
866	範	22438	0.02%	89.84%	1413	pattern
867	仮	22433	0.02%	89.86%	966	provisional
868	健	22418	0.02%	89.88%	974	healthy
869	丁	22409	0.02%	89.90%	91	street
870	否	22275	0.02%	89.92%	1218	negate
871	巨	22213	0.02%	89.94%	856	gigantic
872	審	22128	0.02%	89.96%	1910	hearing
873	覧	22040	0.02%	89.98%	855	perusal
874	距	21980	0.02%	90.00%	1281	long-distance
875	憲	21885	0.02%	90.02%	1554	constitution
876	余	21871	0.02%	90.04%	1657	too much
877	掛	21860	0.02%	90.06%	674	hang
878	幼	21798	0.02%	90.09%	1378	infancy
879	危	21786	0.02%	90.11%	1416	dangerous
880	買	21660	0.02%	90.13%	831	buy
881	傷	21656	0.02%	90.15%	996	wound
882	弁	21636	0.02%	90.17%	742	valve
883	老	21631	0.02%	90.19%	1251	old man
884	圏	21535	0.02%	90.21%	1208	sphere
885	沖	21511	0.02%	90.23%	138	open sea
886	額	21481	0.02%	90.25%	295	forehead
887	貴	21425	0.02%	90.27%	1771	precious
888	浦	21422	0.02%	90.29%	1837	bay
889	栄	21414	0.02%	90.31%	326	flourish
890	訪	21384	0.02%	90.33%	495	call on
891	樹	21378	0.02%	90.35%	1446	timber-trees
892	副	21291	0.02%	90.37%	89	vice-
893	欧	21207	0.02%	90.39%	1699	Europe
894	傾	21124	0.02%	90.41%	1011	lean
895	撮	21062	0.02%	90.43%	822	snapshot
896	絵	21062	0.02%	90.45%	1346	picture
897	瀬	21033	0.02%	90.47%	1666	rapids
898	探	20975	0.02%	90.49%	1327	grope
899	症	20957	0.02%	90.51%	1685	symptoms
900	献	20956	0.02%	90.53%	1615	offering
901	塁	20892	0.02%	90.55%	1734	bases
902	犯	20884	0.02%	90.57%	1414	crime
903	肉	20835	0.02%	90.59%	1022	meat
904	券	20785	0.02%	90.61%	1206	ticket
905	請	20770	0.02%	90.63%	1536	solicit
906	枠	20765	0.02%	90.65%	200	frame
907	黄	20676	0.02%	90.67%	1750	yellow
908	兼	20670	0.02%	90.68%	1597	concurrently
909	均	20633	0.02%	90.70%	160	level
910	鹿	20605	0.02%	90.72%	1999	deer
911	閣	20600	0.02%	90.74%	1624	tower
912	隣	20571	0.02%	90.76%	1311	neighboring
913	裏	20544	0.02%	90.78%	399	back
914	仲	20461	0.02%	90.80%	956	go-between
915	慶	20379	0.02%	90.82%	2001	jubilation
916	毛	20363	0.02%	90.84%	1913	fur
917	逃	20295	0.02%	90.86%	283	escape
918	既	20294	0.02%	90.88%	1481	previously
919	維	20237	0.02%	90.90%	1341	fiber
920	陣	20214	0.02%	90.92%	1305	camp
921	冷	20143	0.02%	90.94%	1404	cool
922	閉	20124	0.02%	90.95%	1623	closed
923	竹	20114	0.02%	90.97%	937	bamboo
924	騎	20070	0.02%	90.99%	1981	equestrian
925	敷	20060	0.02%	91.01%	1883	spread
926	善	20026	0.02%	91.03%	1035	virtuous
927	侵	19957	0.02%	91.05%	1148	encroach
928	銃	19918	0.02%	91.07%	762	gun
929	庭	19863	0.02%	91.09%	590	courtyard
930	奪	19849	0.02%	91.10%	566	rob
931	巡	19833	0.02%	91.12%	285	patrol
932	殿	19775	0.02%	91.14%	1805	Mr.
933	厳	19755	0.02%	91.16%	1936	stern
934	虫	19709	0.02%	91.18%	517	insect
935	暗	19707	0.02%	91.20%	480	darkness
936	惑	19689	0.02%	91.22%	614	beguile
937	架	19647	0.02%	91.23%	869	erect
938	暦	19597	0.02%	91.25%	213	calendar
939	胞	19567	0.02%	91.27%	531	placenta
940	焼	19545	0.02%	91.29%	1200	bake
941	没	19515	0.02%	91.31%	707	drown
942	油	19491	0.02%	91.33%	1107	oil
943	脚	19414	0.02%	91.35%	1396	shins
944	房	19347	0.02%	91.36%	1078	tassel
945	概	19049	0.02%	91.38%	1482	outline
946	塩	18986	0.02%	91.40%	1458	salt
947	押	18967	0.02%	91.42%	1114	push
948	詩	18880	0.02%	91.44%	346	poem
949	談	18819	0.02%	91.45%	350	discuss
950	魚	18806	0.02%	91.47%	171	fish
951	救	18801	0.02%	91.49%	936	salvation
952	染	18793	0.02%	91.51%	509	dye
953	辞	18712	0.02%	91.52%	1497	resign
954	塚	18668	0.02%	91.54%	1039	hillock
955	欠	18639	0.02%	91.56%	466	lack
956	仙	18597	0.02%	91.58%	986	hermit
957	納	18492	0.02%	91.59%	1356	settlement
958	弱	18435	0.02%	91.61%	1236	weak
959	討	18423	0.02%	91.63%	340	chastise
960	幸	18381	0.02%	91.65%	1505	happiness
961	片	18378	0.02%	91.66%	1212	one-sided
962	唱	18315	0.02%	91.68%	21	chant
963	避	18310	0.02%	91.70%	1501	evade
964	俳	18295	0.02%	91.72%	1633	haiku
965	孫	18272	0.02%	91.73%	1393	grandchild
966	七	18213	0.02%	91.75%	7	seven
967	酒	18199	0.02%	91.77%	1428	sake
968	疑	18180	0.02%	91.78%	1410	doubt
969	熊	18170	0.02%	91.80%	2003	bear
970	繰	18146	0.02%	91.82%	1369	winding
971	濃	18112	0.02%	91.84%	2015	concentrated
972	唯	18106	0.02%	91.85%	556	solely
973	苦	18036	0.02%	91.87%	225	suffering
974	刻	18031	0.02%	91.89%	1521	engrave
975	訴	17988	0.02%	91.90%	1139	accusation
976	紹	17946	0.02%	91.92%	1359	introduce
977	骨	17889	0.02%	91.94%	1288	skeleton
978	依	17839	0.02%	91.95%	971	reliant
979	伸	17833	0.02%	91.97%	1118	expand
980	隠	17828	0.02%	91.99%	1313	conceal
981	繁	17821	0.02%	92.00%	1337	luxuriant
982	困	17742	0.02%	92.02%	579	quandary
983	露	17734	0.02%	92.04%	1283	dew
984	縮	17734	0.02%	92.05%	1336	shrink
985	臨	17624	0.02%	92.07%	854	look to
986	税	17588	0.02%	92.09%	895	tax
987	譲	17560	0.02%	92.10%	1528	defer
988	喜	17453	0.02%	92.12%	1445	rejoice
989	災	17409	0.02%	92.14%	167	disaster
990	奥	17192	0.02%	92.15%	928	core
991	怪	17158	0.02%	92.17%	716	suspicious
992	暴	17047	0.02%	92.19%	1801	outburst
993	簡	17025	0.02%	92.20%	1621	simplicity
994	縄	16952	0.02%	92.22%	1377	straw rope
995	願	16768	0.02%	92.23%	135	petition
996	軌	16759	0.02%	92.25%	288	rut
997	融	16738	0.02%	92.26%	1044	dissolve
998	択	16729	0.02%	92.28%	1074	choose
999	快	16727	0.02%	92.30%	1642	cheerful
1000	免	16646	0.02%	92.31%	1972	excuse
1001	吸	16608	0.02%	92.33%	689	suck
1002	遅	16593	0.02%	92.34%	1067	slow
1003	潜	16574	0.02%	92.36%	844	submerge
1004	触	16569	0.02%	92.37%	1813	contact
1005	茶	16551	0.02%	92.39%	252	tea
1006	排	16488	0.02%	92.41%	1634	repudiate
1007	払	16409	0.02%	92.42%	738	pay
1008	翼	16325	0.02%	92.44%	1798	wing
1009	締	16094	0.02%	92.45%	1340	tighten
1010	季	16090	0.02%	92.47%	912	seasons
1011	砂	16048	0.02%	92.48%	117	sand
1012	縁	15992	0.02%	92.50%	1372	affinity
1013	君	15974	0.02%	92.51%	1162	old boy
1014	恐	15923	0.02%	92.53%	613	fear
1015	誕	15907	0.02%	92.54%	393	nativity
1016	釈	15871	0.01%	92.56%	1908	explanation
1017	阿	15865	0.01%	92.57%	1295	Africa
1018	損	15860	0.01%	92.59%	666	damage
1019	潟	15837	0.01%	92.60%	2039	lagoon
1020	亜	15786	0.01%	92.62%	1809	Asia
1021	票	15777	0.01%	92.63%	1606	ballot
1022	還	15704	0.01%	92.65%	837	send back
1023	撤	15699	0.01%	92.66%	760	remove
1024	燃	15688	0.01%	92.68%	510	burn
1025	麻	15681	0.01%	92.69%	593	hemp
1026	誤	15643	0.01%	92.71%	1899	mistake
1027	崩	15621	0.01%	92.72%	774	crumble
1028	到	15553	0.01%	92.74%	755	arrival
1029	仁	15536	0.01%	92.75%	988	humanity
1030	隆	15524	0.01%	92.76%	1561	hump
1031	霊	15507	0.01%	92.78%	1791	spirits
1032	舗	15506	0.01%	92.79%	1839	shop
1033	皮	15495	0.01%	92.81%	802	pelt
1034	益	15474	0.01%	92.82%	1881	benefit
1035	顔	15473	0.01%	92.84%	1717	face
1036	雲	15472	0.01%	92.85%	423	cloud
1037	稲	15435	0.01%	92.87%	910	rice plant
1038	牧	15329	0.01%	92.88%	329	breed
1039	申	15326	0.01%	92.90%	1117	speaketh
1040	底	15245	0.01%	92.91%	1833	bottom
1041	秘	15155	0.01%	92.92%	904	secret
1042	礼	15149	0.01%	92.94%	1087	salutation
1043	誘	15125	0.01%	92.95%	916	entice
1044	緑	15109	0.01%	92.97%	1371	green
1045	飾	15096	0.01%	92.98%	1477	decorate
1046	冬	15030	0.01%	93.00%	427	winter
1047	齢	15017	0.01%	93.01%	1403	age
1048	豪	14971	0.01%	93.02%	543	overpowering
1049	即	14960	0.01%	93.04%	1462	instant
1050	遣	14959	0.01%	93.05%	1773	dispatch
1051	旗	14873	0.01%	93.07%	1764	national flag
1052	綱	14845	0.01%	93.08%	1963	hawser
1053	龍	14841	0.01%	93.09%	2981	dragon [old]
1054	駐	14788	0.01%	93.11%	1982	parking
1055	恵	14770	0.01%	93.12%	612	favor
1056	招	14727	0.01%	93.14%	650	beckon
1057	倍	14702	0.01%	93.15%	992	double
1058	摩	14684	0.01%	93.16%	639	chafe
1059	絡	14658	0.01%	93.18%	1350	entwine
1060	壁	14647	0.01%	93.19%	1500	wall
1061	儀	14635	0.01%	93.20%	984	ceremony
1062	封	14575	0.01%	93.22%	156	seal
1063	厚	14548	0.01%	93.23%	125	thick
1064	恋	14525	0.01%	93.25%	1748	romance
1065	貫	14446	0.01%	93.26%	102	pierce
1066	我	14430	0.01%	93.27%	640	ego
1067	征	14314	0.01%	93.29%	881	subjugate
1068	窓	14278	0.01%	93.30%	749	window
1069	哲	14259	0.01%	93.31%	1131	philosophy
1070	炭	14234	0.01%	93.33%	771	charcoal
1071	菌	14155	0.01%	93.34%	918	germ
1072	億	14146	0.01%	93.35%	983	hundred million
1073	狭	14138	0.01%	93.37%	1266	cramped
1074	彦	14093	0.01%	93.38%	1716	lad
1075	尊	14090	0.01%	93.39%	1439	revered
1076	答	14082	0.01%	93.41%	947	solution
1077	荒	14075	0.01%	93.42%	488	laid waste
1078	竜	14039	0.01%	93.43%	536	dragon
1079	殊	13998	0.01%	93.45%	810	particularly
1080	双	13968	0.01%	93.46%	697	pair
1081	弘	13958	0.01%	93.47%	1234	vast
1082	笑	13913	0.01%	93.49%	938	laugh
1083	丘	13890	0.01%	93.50%	1329	hill
1084	杉	13884	0.01%	93.51%	1713	cedar
1085	寛	13794	0.01%	93.53%	226	tolerant
1086	冠	13778	0.01%	93.54%	304	crown
1087	柄	13699	0.01%	93.55%	1021	design
1088	妹	13697	0.01%	93.56%	220	younger sister
1089	致	13677	0.01%	93.58%	756	doth
1090	荷	13648	0.01%	93.59%	1013	baggage
1091	購	13604	0.01%	93.60%	1817	subscription
1092	筋	13587	0.01%	93.62%	941	muscle
1093	浅	13581	0.01%	93.63%	369	shallow
1094	責	13547	0.01%	93.64%	1541	blame
1095	須	13538	0.01%	93.65%	1718	ought
1096	軸	13486	0.01%	93.67%	1112	axis
1097	却	13482	0.01%	93.68%	1395	instead
1098	干	13479	0.01%	93.69%	1648	dry
1099	覇	13388	0.01%	93.70%	1895	hegemony
1100	奇	13376	0.01%	93.72%	126	strange
1101	踏	13300	0.01%	93.73%	1287	step
1102	摘	13278	0.01%	93.74%	657	pinch
1103	訓	13271	0.01%	93.75%	341	instruction
1104	震	13224	0.01%	93.77%	2010	quake
1105	飲	13223	0.01%	93.78%	1474	drink
1106	矢	13219	0.01%	93.79%	1220	dart
1107	童	13217	0.01%	93.80%	436	juvenile
1108	沼	13208	0.01%	93.82%	137	marsh
1109	充	13184	0.01%	93.83%	761	allot
1110	抱	13144	0.01%	93.84%	645	embrace
1111	才	13144	0.01%	93.85%	681	genius
1112	衝	13130	0.01%	93.87%	1680	collide
1113	雪	13085	0.01%	93.88%	1143	snow
1114	吹	13057	0.01%	93.89%	467	blow
1115	剣	13052	0.01%	93.90%	1671	saber
1116	貢	12961	0.01%	93.92%	81	tribute
1117	威	12914	0.01%	93.93%	364	intimidate
1118	剤	12835	0.01%	93.94%	1730	dose
1119	埼	12820	0.01%	93.95%	153	cape
1120	秒	12765	0.01%	93.96%	899	second
1121	脈	12724	0.01%	93.98%	1856	vein
1122	雨	12716	0.01%	93.99%	422	rain
1123	伯	12699	0.01%	94.00%	967	chief
1124	束	12696	0.01%	94.01%	1664	bundle
1125	伏	12690	0.01%	94.02%	962	prostrated
1126	包	12689	0.01%	94.04%	530	wrap
1127	郵	12644	0.01%	94.05%	1847	mail
1128	轄	12590	0.01%	94.06%	1552	control
1129	鎮	12576	0.01%	94.07%	276	tranquillize
1130	享	12564	0.01%	94.08%	308	receive
1131	鶴	12552	0.01%	94.10%	1943	crane
1132	陰	12495	0.01%	94.11%	1592	shade
1133	針	12494	0.01%	94.12%	274	needle
1134	姫	12487	0.01%	94.13%	849	princess
1135	雷	12395	0.01%	94.14%	425	thunder
1136	署	12373	0.01%	94.15%	1259	signature
1137	又	12357	0.01%	94.17%	696	or again
1138	湯	12340	0.01%	94.18%	546	hot water
1139	墓	12309	0.01%	94.19%	231	grave
1140	抑	12263	0.01%	94.20%	1700	repress
1141	夢	12262	0.01%	94.21%	305	dream
1142	脳	12250	0.01%	94.22%	1934	brain
1143	歯	12231	0.01%	94.23%	1171	tooth
1144	己	12197	0.01%	94.25%	525	self
1145	姉	12094	0.01%	94.26%	413	elder sister
1146	械	12060	0.01%	94.27%	677	contraption
1147	殖	12026	0.01%	94.28%	811	augment
1148	索	12010	0.01%	94.29%	1365	cord
1149	迫	11969	0.01%	94.30%	282	urge
1150	鎖	11967	0.01%	94.31%	1937	chain
1151	堀	11966	0.01%	94.33%	1062	ditch
1152	幌	11952	0.01%	94.34%	410	canopy
1153	網	11947	0.01%	94.35%	1373	netting
1154	縦	11919	0.01%	94.36%	1338	vertical
1155	削	11869	0.01%	94.37%	118	plane
1156	奉	11818	0.01%	94.38%	1573	dedicate
1157	毒	11815	0.01%	94.39%	1531	poison
1158	俗	11798	0.01%	94.40%	968	vulgar
1159	衣	11781	0.01%	94.42%	396	garment
1160	茂	11770	0.01%	94.43%	360	overgrown
1161	那	11753	0.01%	94.44%	2960	interrogative
1162	希	11745	0.01%	94.45%	1489	hope
1163	沈	11724	0.01%	94.46%	1888	sink
1164	鉱	11695	0.01%	94.47%	741	mineral
1165	慮	11687	0.01%	94.48%	1996	prudence
1166	寿	11665	0.01%	94.49%	1565	longevity
1167	弦	11665	0.01%	94.50%	1386	bowstring
1168	陥	11640	0.01%	94.51%	1315	collapse
1169	桜	11635	0.01%	94.53%	1932	cherry tree
1170	託	11621	0.01%	94.54%	1917	consign
1171	阜	11600	0.01%	94.55%	2928	large hill
1172	埋	11597	0.01%	94.56%	179	bury
1173	鎌	11586	0.01%	94.57%	1599	sickle
1174	塔	11555	0.01%	94.58%	254	pagoda
1175	杯	11546	0.01%	94.59%	1219	cupfuls
1176	磁	11524	0.01%	94.60%	1390	magnet
1177	芝	11505	0.01%	94.61%	1216	turf
1178	謀	11493	0.01%	94.62%	1760	conspire
1179	姓	11482	0.01%	94.63%	1557	surname
1180	遂	11478	0.01%	94.65%	540	consummate
1181	犬	11459	0.01%	94.66%	238	dog
1182	微	11449	0.01%	94.67%	889	delicate
1183	刺	11442	0.01%	94.68%	417	thorn
1184	析	11424	0.01%	94.69%	1126	chop
