Rank	Kanji	Occurrences	Percentage	Cumulative%	Heisig Index	Heisig Keyword
142	区	175793	0.17%	45.23%	1696	ward
143	元	174954	0.16%	45.39%	59	beginning
144	加	174520	0.16%	45.56%	867	add
145	女	174133	0.16%	45.72%	98	woman
146	都	173194	0.16%	45.89%	1846	metropolis
147	受	172307	0.16%	46.05%	735	accept
148	平	171740	0.16%	46.21%	1484	even
149	意	169017	0.16%	46.37%	608	idea
150	号	168507	0.16%	46.53%	1242	nickname
151	気	168246	0.16%	46.69%	1885	spirit
152	経	167535	0.16%	46.85%	1360	sutra
153	正	166019	0.16%	47.00%	379	correct
154	電	165746	0.16%	47.16%	535	electricity
155	取	165707	0.16%	47.32%	819	take
156	有	165610	0.16%	47.47%	79	possess
157	等	165448	0.16%	47.63%	945	etc.
158	近	164633	0.16%	47.78%	1129	near
159	運	163575	0.15%	47.94%	303	carry
160	勝	161641	0.15%	48.09%	1209	victory
161	界	161519	0.15%	48.24%	251	world
162	町	161391	0.15%	48.39%	92	village
163	呼	158952	0.15%	48.54%	1485	call
164	点	157919	0.15%	48.69%	169	spot
165	治	156554	0.15%	48.84%	746	reign
166	員	155832	0.15%	48.99%	56	employee
167	書	155518	0.15%	49.13%	327	write
168	共	155027	0.15%	49.28%	1795	together
169	知	154205	0.15%	49.42%	1223	know
170	変	153760	0.14%	49.57%	1745	unusual
171	次	153302	0.14%	49.71%	471	next
172	指	152680	0.14%	49.86%	659	finger
173	際	152412	0.14%	50.00%	1296	occasion
174	利	151996	0.14%	50.15%	906	profit
175	続	151589	0.14%	50.29%	1345	continue
176	売	150916	0.14%	50.43%	323	sell
177	演	150233	0.14%	50.57%	2007	performance
178	重	149826	0.14%	50.71%	1675	heavy
179	南	149546	0.14%	50.85%	1613	south
180	務	149506	0.14%	51.00%	1227	task
181	金	148546	0.14%	51.14%	269	gold
182	音	147649	0.14%	51.27%	479	sound
183	王	147343	0.14%	51.41%	255	king
184	心	146782	0.14%	51.55%	595	heart
185	型	146218	0.14%	51.69%	680	mould
186	不	145772	0.14%	51.83%	1217	negative
187	州	145440	0.14%	51.96%	128	state
188	系	144665	0.14%	52.10%	1391	lineage
189	流	143174	0.13%	52.24%	764	current
190	二	143131	0.13%	52.37%	2	two
191	進	142638	0.13%	52.51%	561	advance
192	鉄	142613	0.13%	52.64%	846	iron
193	参	141519	0.13%	52.77%	1720	visit
194	空	140950	0.13%	52.91%	1317	empty
195	称	139738	0.13%	53.04%	905	appellation
196	存	139231	0.13%	53.17%	684	suppose
197	路	138862	0.13%	53.30%	1282	path
198	向	137939	0.13%	53.43%	183	yonder
199	楽	137729	0.13%	53.56%	1735	music
200	天	136566	0.13%	53.69%	428	heavens
201	産	136559	0.13%	53.82%	1560	products
202	他	136462	0.13%	53.95%	961	other
203	付	134736	0.13%	54.07%	1000	adhere
204	造	133657	0.13%	54.20%	281	create
205	信	132968	0.13%	54.32%	969	faith
206	様	131831	0.12%	54.45%	933	Esq.
207	団	131792	0.12%	54.57%	582	group
208	始	131407	0.12%	54.70%	747	commence
209	義	131391	0.12%	54.82%	641	righteousness
210	曲	130504	0.12%	54.94%	1172	bend
211	口	130108	0.12%	55.07%	11	mouth
212	議	129970	0.12%	55.19%	642	deliberation
213	種	129571	0.12%	55.31%	1679	species
214	権	127960	0.12%	55.43%	571	authority
215	無	127624	0.12%	55.55%	1775	nothingness
216	台	127372	0.12%	55.67%	744	pedestal
217	得	127163	0.12%	55.79%	876	gain
218	集	126476	0.12%	55.91%	559	gather
219	製	125444	0.12%	56.03%	419	made in...
220	優	125251	0.12%	56.15%	993	tenderness
221	保	124272	0.12%	56.26%	997	protect
222	彼	123194	0.12%	56.38%	883	he
223	交	123084	0.12%	56.50%	1275	mingle
224	広	122595	0.12%	56.61%	739	wide
225	基	122553	0.12%	56.73%	1767	fundamentals
226	両	122011	0.12%	56.84%	1168	both
227	建	121126	0.11%	56.96%	391	build
228	解	120630	0.11%	57.07%	1814	unravel
229	改	120468	0.11%	57.18%	528	reformation
230	少	120365	0.11%	57.30%	106	few
231	属	120182	0.11%	57.41%	1953	belong
232	別	119964	0.11%	57.52%	90	separate
233	計	118876	0.11%	57.64%	337	plot
234	登	118844	0.11%	57.75%	1703	ascend
235	相	118543	0.11%	57.86%	209	inter-
236	域	118098	0.11%	57.97%	356	range
237	強	117567	0.11%	58.08%	1235	strong
238	決	117353	0.11%	58.19%	1641	decide
239	任	116932	0.11%	58.30%	1003	responsibility
240	説	114613	0.11%	58.41%	499	rumor
241	終	114058	0.11%	58.52%	1352	end
242	工	113701	0.11%	58.63%	76	craft
243	常	113031	0.11%	58.73%	799	usual
244	約	111981	0.11%	58.84%	1362	promise
245	直	111870	0.11%	58.94%	73	straightaway
246	隊	110865	0.10%	59.05%	1306	regiment
247	可	110630	0.10%	59.15%	93	can
248	映	110215	0.10%	59.26%	1742	reflect
249	移	109332	0.10%	59.36%	898	shift
250	転	109304	0.10%	59.46%	420	revolve
251	統	108903	0.10%	59.57%	1347	overall
252	備	108345	0.10%	59.67%	1183	equip
253	果	107876	0.10%	59.77%	1121	fruit
254	馬	106110	0.10%	59.87%	1978	horse
255	役	105805	0.10%	59.97%	884	duty
256	側	105690	0.10%	60.07%	975	side
257	士	105306	0.10%	60.17%	319	gentleman
258	構	105272	0.10%	60.27%	1818	posture
259	状	105206	0.10%	60.37%	239	status quo
260	古	104325	0.10%	60.46%	16	old
261	題	104251	0.10%	60.56%	389	topic
262	引	104223	0.10%	60.66%	1232	pull
263	撃	103734	0.10%	60.76%	709	beat
264	支	103294	0.10%	60.86%	711	branch
265	格	103217	0.10%	60.95%	292	status
266	院	103167	0.10%	61.05%	1304	Inst.
267	安	102909	0.10%	61.15%	190	relax
268	村	102561	0.10%	61.24%	208	town
269	録	102332	0.10%	61.34%	1144	record
270	再	101137	0.10%	61.44%	1815	again
271	球	100997	0.10%	61.53%	935	ball
272	科	100148	0.09%	61.63%	1179	department
273	府	100042	0.09%	61.72%	1002	municipality
274	降	99356	0.09%	61.81%	1308	descend
275	木	99341	0.09%	61.91%	195	tree
276	石	99310	0.09%	62.00%	113	stone
277	城	98884	0.09%	62.09%	362	castle
278	由	98798	0.09%	62.19%	1105	wherefore
279	類	98481	0.09%	62.28%	931	sort
280	死	98205	0.09%	62.37%	815	death
281	各	97967	0.09%	62.47%	291	each
282	術	97425	0.09%	62.56%	1525	art
283	編	97382	0.09%	62.65%	1825	compilation
284	問	97345	0.09%	62.74%	1617	question
285	話	97178	0.09%	62.83%	344	tale
286	朝	97008	0.09%	62.92%	52	morning
287	局	96581	0.09%	63.02%	1066	bureau
288	伝	96501	0.09%	63.11%	963	transmit
289	命	96463	0.09%	63.20%	1400	fate
290	反	96247	0.09%	63.29%	722	anti-
291	装	96163	0.09%	63.38%	398	attire
292	営	96129	0.09%	63.47%	1034	occupation
293	起	95645	0.09%	63.56%	526	rouse
294	賞	95137	0.09%	63.65%	796	prize
295	総	94303	0.09%	63.74%	1366	general
296	技	94193	0.09%	63.83%	712	skill
297	男	93588	0.09%	63.91%	859	male
298	乗	93456	0.09%	64.00%	1585	ride
299	考	93343	0.09%	64.09%	1252	consider
300	門	93269	0.09%	64.18%	1616	gates
301	論	93019	0.09%	64.27%	1820	argument
302	武	92648	0.09%	64.35%	377	warrior
303	着	92561	0.09%	64.44%	555	don
304	収	91990	0.09%	64.53%	1510	income
305	字	90904	0.09%	64.61%	185	character
306	配	90607	0.09%	64.70%	1436	distribute
307	示	89333	0.08%	64.78%	1086	show
308	官	88865	0.08%	64.87%	1271	bureaucrat
309	半	88774	0.08%	64.95%	1202	half
310	版	88555	0.08%	65.03%	1213	printing block
311	止	88542	0.08%	65.12%	370	stop
312	報	88298	0.08%	65.20%	1507	report
313	先	88165	0.08%	65.28%	248	before
314	歌	87995	0.08%	65.37%	469	song
315	住	87860	0.08%	65.45%	954	dwell
316	族	87694	0.08%	65.53%	1222	tribe
317	調	87548	0.08%	65.62%	349	tune
318	兵	87498	0.08%	65.70%	1331	soldier
319	判	87400	0.08%	65.78%	1205	judgment
320	例	86873	0.08%	65.86%	972	example
321	列	86863	0.08%	65.94%	812	file
322	異	86707	0.08%	66.03%	1797	uncommon
323	味	85996	0.08%	66.11%	219	flavor
324	応	85958	0.08%	66.19%	607	apply
325	土	85336	0.08%	66.27%	150	soil
326	太	85266	0.08%	66.35%	120	plump
327	艦	84531	0.08%	66.43%	1875	warship
328	色	83462	0.08%	66.51%	1753	color
329	料	83059	0.08%	66.59%	1178	fee
330	領	83050	0.08%	66.66%	1405	jurisdiction
331	認	82733	0.08%	66.74%	598	acknowledge
332	争	82637	0.08%	66.82%	1154	contend
333	退	82635	0.08%	66.90%	1465	retreat
334	載	82496	0.08%	66.98%	359	load
335	器	82394	0.08%	67.05%	121	utensil
336	光	82262	0.08%	67.13%	119	ray
337	規	82221	0.08%	67.21%	841	standard
338	宮	81665	0.08%	67.28%	1033	Shinto shrine
339	紀	81256	0.08%	67.36%	1354	chronicle
340	屋	81023	0.08%	67.44%	1058	roof
341	独	80917	0.08%	67.51%	522	single
342	条	80787	0.08%	67.59%	298	twig
343	岡	80380	0.08%	67.67%	1961	Mount
344	単	80264	0.08%	67.74%	1928	simple
345	戸	79923	0.08%	67.82%	1076	door
346	阪	79311	0.07%	67.89%	1294	Heights
347	量	79300	0.07%	67.97%	177	quantity
348	派	79010	0.07%	68.04%	1855	faction
349	及	78985	0.07%	68.12%	688	reach out
350	研	78466	0.07%	68.19%	675	polish
351	速	78340	0.07%	68.26%	1669	quick
352	史	78195	0.07%	68.34%	692	history
353	継	78170	0.07%	68.41%	1370	inherit
354	育	77964	0.07%	68.48%	759	bring up
355	達	77821	0.07%	68.56%	552	accomplished
356	必	77741	0.07%	68.63%	635	invariably
357	党	77361	0.07%	68.70%	797	party
358	試	77286	0.07%	68.78%	354	test
359	店	77203	0.07%	68.85%	588	store
360	般	77044	0.07%	68.92%	1871	carrier
361	万	76978	0.07%	68.99%	64	ten thousand
